id,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
REEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
REEF9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
REEF10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
REEF11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
REEF12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
REEF13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
REEF14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF20,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF23,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
REEF24,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
REEF25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
REEF26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
REEF27,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
REEF28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
REEF29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REEF31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
REEF32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
REEF33,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
REEF34,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
REEF35,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
REEF36,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
REEF37,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
REEF38,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
REEF39,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
